,beta_1,beta_2,beta_3,beta_4,beta_5
2023-02-14,0.1866253815910014,-0.0347722393842212,0.3098101903072322,0.0277950588014366,-0.0538338557243856
2023-02-15,0.1881832143503726,-0.0526694366654001,0.3030377966556655,0.024404759327695,-0.0519811995391359
2023-02-16,0.1885168331498978,-0.0222525362616394,0.3029078090014639,0.0234897978590962,-0.0486650660451425
2023-02-17,0.1892099575962249,-0.0243058093964608,0.2999213011643227,0.0237482016221313,-0.0473815823615495
2023-02-21,0.1903816448077857,0.0201050738324134,0.3011746377776177,0.0248458745602411,-0.0480321062525968
2023-02-22,0.1906676535772422,0.008036856366526,0.2964120783995564,0.0243794760184266,-0.0440324743675804
2023-02-23,0.1886406251431361,-0.0092721520460917,0.2957271553511776,0.0258325609922446,-0.0475463614454555
2023-02-24,0.1911891235106179,0.0036973178457248,0.2932837639181359,0.0282822629572949,-0.0466939761013287
2023-02-27,0.189050417036051,-0.0005346928291395,0.287476134586552,0.0231909524984958,-0.0459916884858498
2023-02-28,0.1871067814662187,-0.0030194244463656,0.2805461446991043,0.0193742356079926,-0.050587186629756
2023-03-01,0.1875020073017794,0.0031622242876724,0.2718338612461827,0.0205629038756175,-0.0456511319257023
2023-03-02,0.1865800841284344,-0.0072485575631225,0.2713739271126398,0.0232529064362592,-0.0373838663974881
2023-03-03,0.1866557457293502,-0.0375133658455741,0.2811378316155165,0.0231866544133027,-0.0448320195015784
2023-03-06,0.1856288940658149,-0.0226870879720954,0.2598045952941401,0.0104679966567315,-0.0363678782874979
2023-03-07,0.1840716615169282,0.0001910841616751,0.2587142637551697,0.0113466494792414,-0.0376195210244371
2023-03-08,0.1827431892346528,-0.0036114915008948,0.2507597353566546,0.0071040317042662,-0.0352583936321694
2023-03-09,0.1825349002268025,0.0565546446842975,0.2540004620772427,0.009331616340539,-0.0290618461404511
2023-03-10,0.1907743237920574,0.05233715953501,0.2893797690033358,0.0196735549732245,-0.0387755632876946
2023-03-13,0.1910690496238326,0.084799838468371,0.3024002214686591,0.0254937150965438,-0.0349793637641304
2023-03-14,0.1929351994117423,0.0116738560748433,0.3225464737411887,0.0260901414804051,-0.0464569691744222
2023-03-15,0.1956601214514852,0.0583534463610466,0.330735965230038,0.0312367820696787,-0.04483275860176
2023-03-16,0.1940321184493498,0.0085565732844641,0.3167580647322882,0.0247547393909255,-0.0459556245288763
2023-03-17,0.1995129793643026,0.0575379079517414,0.3334482246418682,0.0368347761145152,-0.0442937660300097
2023-03-20,0.1959878783577444,0.0419152499660131,0.3261295941471787,0.029052298428815,-0.0407547825865881
2023-03-21,0.1921227053194945,0.0066846342697754,0.3104024078036015,0.0210671663763119,-0.0413798581759192
2023-03-22,0.1940758308775849,0.0293354958676181,0.3032356541520349,0.0234530895751307,-0.0361492235368043
2023-03-23,0.1954162028168342,0.0266922250341703,0.3102690936514381,0.0260378746223642,-0.0408756686869317
