as_of,beta_1,beta_2,beta_3,beta_4,beta_5
2023-02-13,0.18813987618490713,-0.015111638704733768,0.3055912264266345,0.025981727822597753,-0.05066930472261853
2023-02-14,0.1866253815910014,-0.034772239384221276,0.3098101903072322,0.027795058801436623,-0.05383385572438566
2023-02-15,0.1881832143503726,-0.05266943666540017,0.30303779665566555,0.024404759327695043,-0.05198119953913592
2023-02-16,0.1885168331498978,-0.0222525362616394,0.3029078090014639,0.023489797859096242,-0.048665066045142515
2023-02-17,0.18920995759622494,-0.0243058093964608,0.2999213011643227,0.02374820162213135,-0.04738158236154955
2023-02-21,0.1903816448077857,0.020105073832413427,0.3011746377776177,0.024845874560241125,-0.04803210625259682
2023-02-22,0.19066765357724225,0.008036856366526063,0.29641207839955647,0.024379476018426664,-0.04403247436758044
2023-02-23,0.18864062514313618,-0.009272152046091749,0.29572715535117766,0.025832560992244624,-0.047546361445455584
2023-02-24,0.19118912351061793,0.003697317845724873,0.2932837639181359,0.02828226295729497,-0.046693976101328784
2023-02-27,0.18905041703605105,-0.0005346928291395793,0.287476134586552,0.023190952498495846,-0.045991688485849884
2023-02-28,0.18710678146621873,-0.0030194244463656343,0.2805461446991043,0.019374235607992688,-0.05058718662975609
2023-03-01,0.18750200730177946,0.0031622242876724357,0.27183386124618275,0.020562903875617537,-0.045651131925702346
2023-03-02,0.18658008412843444,-0.007248557563122581,0.27137392711263986,0.023252906436259265,-0.037383866397488155
2023-03-03,0.18665574572935023,-0.03751336584557415,0.2811378316155165,0.023186654413302726,-0.04483201950157843
2023-03-06,0.18562889406581495,-0.02268708797209547,0.25980459529414013,0.010467996656731558,-0.036367878287497934
2023-03-07,0.1840716615169282,0.00019108416167514116,0.2587142637551697,0.011346649479241449,-0.03761952102443713
2023-03-08,0.18274318923465283,-0.003611491500894873,0.2507597353566546,0.007104031704266255,-0.03525839363216947
2023-03-09,0.1825349002268025,0.05655464468429755,0.25400046207724275,0.009331616340539074,-0.029061846140451125
2023-03-10,0.19077432379205744,0.05233715953501,0.28937976900333584,0.01967355497322455,-0.038775563287694666
2023-03-13,0.19106904962383267,0.08479983846837101,0.3024002214686591,0.025493715096543867,-0.034979363764130425
2023-03-14,0.19293519941174234,0.011673856074843392,0.3225464737411887,0.026090141480405157,-0.046456969174422214
2023-03-15,0.19566012145148526,0.05835344636104662,0.33073596523003806,0.031236782069678774,-0.04483275860176004
2023-03-16,0.19403211844934984,0.008556573284464167,0.3167580647322882,0.024754739390925547,-0.04595562452887632
2023-03-17,0.19951297936430268,0.05753790795174149,0.3334482246418682,0.036834776114515286,-0.044293766030009715
2023-03-20,0.1959878783577444,0.041915249966013174,0.32612959414717874,0.029052298428815026,-0.04075478258658814
2023-03-21,0.1921227053194945,0.006684634269775409,0.31040240780360157,0.02106716637631197,-0.04137985817591923
2023-03-22,0.19407583087758498,0.029335495867618154,0.30323565415203496,0.02345308957513078,-0.036149223536804345
2023-03-23,0.1954162028168342,0.02669222503417036,0.3102690936514381,0.026037874622364243,-0.04087566868693171
2023-03-24,0.19521616314508786,0.01111964503094839,0.3107488962554244,0.029120200367326377,-0.04172744296666018
2023-03-27,0.19547948396531872,-0.0124071462840109,0.3113136825749779,0.02747383250006423,-0.04435290874076787
2023-03-28,0.19493749075066735,-0.015886899061498445,0.305180940933366,0.027401201113769237,-0.04458495548773868
2023-03-29,0.19260221957577223,-0.03131179346976834,0.3025714962735207,0.025212663830092706,-0.046598445604377536
2023-03-30,0.19301994908679923,-0.039510718840724754,0.2970059863277197,0.01795836212494939,-0.04667257128291523
2023-03-31,0.19029610628851684,-0.041487868051156375,0.309366314758522,0.023220193603045156,-0.05144568831645531
2023-04-03,0.19028305692123293,-0.05239779756453922,0.31281155958476237,0.022018961563236752,-0.05236172417087262
2023-04-04,0.19245155245798823,-0.049669957826505455,0.31447226136552464,0.022081538642717984,-0.053437493253011496
2023-04-05,0.1941973205269028,-0.05015407615792112,0.3152850537739881,0.024295232924944375,-0.052363251692903595
2023-04-06,0.19488022618012407,-0.06439869326024496,0.308538696462604,0.020734996744065617,-0.0496312172343911
2023-04-10,0.19146761881876093,-0.04965241500247631,0.30290391377854625,0.01364397045343282,-0.04928078629805068
2023-04-11,0.19211271489379644,-0.05180492457762362,0.3037615157409883,0.014420954200866112,-0.046104003033358626
2023-04-12,0.19227442897236777,-0.05624528233599717,0.3061342330330477,0.014660817827341396,-0.052359777155362885
2023-04-13,0.19156692835502917,-0.07731468777425302,0.30641305058279444,0.011964158022132085,-0.049010510176382346
2023-04-14,0.18968372613363357,-0.07281567492592032,0.3152657192944658,0.02328367950024374,-0.05300764300601041
2023-04-17,0.18839542540542617,-0.08226717836032889,0.31320983956225223,0.015214001940806306,-0.0519312932810598
2023-04-18,0.18756570048153615,-0.08462921934529775,0.32244280345309173,0.017090513556362114,-0.05557445178106376
2023-04-19,0.18838878602848716,-0.08664896478095792,0.3300150724449099,0.021472490235158594,-0.05597738277149499
